EB_id,area,npix,ypix,xpix
1404db,0.01,1,152,169
6f8f1,0.11,1,144,170
ef1825,0.04,1,146,172
8f4df9,0.33,2,-99,-99
82e76,0.04,1,148,167
6536d2,0.03,1,147,168
815372,0.02,1,146,169
5ccf41,0.03,1,147,169
8273f9,0.03,1,150,173
6b8980,0.01,1,149,172
d0a4,0.07,1,147,170
b81bbc,0.01,1,152,170
b32503,0.02,1,150,172
d0de97,0.04,1,147,169
32e064,0.01,1,150,172
e06c6a,0.26,1,147,169
b5f6d3,0.01,1,147,169
71087f,0.01,1,147,169
a1700f,0.03,1,147,169
a7c7c0,0.02,1,150,170
bbb1c1,0.05,1,150,170
16e3fc,0.08,1,151,169
f3c9d2,0.04,1,152,170
d1b788,0.03,1,149,167
f40038,0.07,1,148,167
9a6348,0.02,1,151,169
5e73ad,0.01,1,145,170
1811f7,0.01,1,146,169
65d2b7,0.01,1,153,172
ef868a,0.02,1,153,171
8270a,0.01,1,151,174
976b9c,0.03,1,146,171
dac532,0.03,1,146,170
3b5370,0.02,1,145,170
c9ca21,0.02,1,150,173
98c181,0.05,1,144,171
887be0,0.08,1,150,176
538051,0.04,1,150,175
e19854,0.02,1,151,174
73f49,0.03,1,144,170
30a0a0,0.03,1,147,171
cc5f49,0.01,1,145,170
329bf8,0.27,1,147,169
25765b,0.04,1,150,174
b8605a,0.01,1,150,173
6cf063,0.03,1,146,170
97f8cc,0.09,1,152,174
bf8298,0.04,1,150,172
12d0ee,0.06,1,152,173
bcb223,0.53,1,152,173
c0803c,0.02,1,148,169
f3428a,0.02,1,151,171
628942,0.01,1,149,170
8b5ddc,0.09,1,148,168
b65b5c,0.02,1,150,170
359033,0.1,1,150,170
9f6763,0.01,1,148,166
e5fb30,0.03,1,150,169
129342,0.05,1,151,170
ba1117,0.01,1,152,169
a367f9,0.01,1,151,169
a0aa1e,0.57,2,-99,-99
8b6b9b,0.01,1,145,170
462bb8,0.01,1,147,169
b60fa7,0.01,1,146,169
7b2bf3,0.01,1,148,168
53c59,0.02,1,151,175
1be1db,0.01,1,149,169
c3f67d,0.01,1,148,166
893788,0.01,1,146,171
64b2e1,0.01,1,148,167
30553f,0.01,1,148,167
6e2eb3,0.01,1,151,169
3d2bf,0.69,1,146,170
1b88de,0.06,1,149,169
ef943,0.01,1,149,166
e02e61,0.05,1,150,176
bfd2c9,0.02,1,145,171
c2e3c6,0.02,1,146,171
950437,0.03,1,146,172
f27728,0.04,1,146,171
7adc91,0.06,1,147,172
b36735,0.18,2,-99,-99
adac41,0.01,1,150,173
33156c,0.02,1,150,173
ef51ad,0.03,1,148,171
a02a14,0.01,1,147,170
4d08fc,0.02,1,151,173
f6f881,0.03,1,148,170
60f7d,0.44,1,148,171
1aabc9,0.14,2,-99,-99
fc356f,0.01,1,151,169
24f419,0.01,1,151,172
bd1ee5,0.01,1,152,169
eeaad8,0.03,1,148,169
e4219,0.02,1,151,172
d7da02,0.21,2,-99,-99
a79051,0.18,1,149,169
4ec935,0.01,1,150,169
7e8ae0,0.01,1,152,170
eaac41,0.12,1,151,170
12ac98,0.01,1,148,167
420d07,0.12,1,152,170
6be551,0.02,1,149,167
d2a638,0.48,2,-99,-99
